ndvi,name,type_1st_h,type_2nd_h,equai,feas_class,image_date_time_utc,sensor,count,image_date,year,image_date_time_ksa
0.35460154702791724,123E,empty,empty,0.0,no,2014-10-29,LC0,341,2014-10-29,2014,2014-10-29 03:00:00
0.361077974177189,122E,wheat,wheat,0.0,no,2014-10-29,LC0,381,2014-10-29,2014,2014-10-29 03:00:00
0.13577378981852933,124E,wheat,potato,0.0,no,2014-10-29,LC0,365,2014-10-29,2014,2014-10-29 03:00:00
0.40562643863206155,111E,empty,empty,0.0,no,2014-10-29,LC0,327,2014-10-29,2014,2014-10-29 03:00:00
0.13517749134724982,113E_,empty,potato,0.0,no,2014-10-29,LC0,381,2014-10-29,2014,2014-10-29 03:00:00
0.37772943940233206,110E,wheat,wheat,1.0,yes,2014-10-29,LC0,674,2014-10-29,2014,2014-10-29 03:00:00
0.13702145973605384,125E,wheat,potato,0.0,no,2014-10-29,LC0,358,2014-10-29,2014,2014-10-29 03:00:00
0.42555824954468524,137E,wheat,wheat,1.0,yes,2014-10-29,LC0,678,2014-10-29,2014,2014-10-29 03:00:00
0.4714655725252268,E55,potato,potato,1.0,no,2014-10-29,LC0,253,2014-10-29,2014,2014-10-29 03:00:00
0.3805710292475477,109E,wheat,wheat,1.0,yes,2014-10-29,LC0,670,2014-10-29,2014,2014-10-29 03:00:00
0.13016656982051703,114E,wheat,potato,0.0,no,2014-10-29,LC0,387,2014-10-29,2014,2014-10-29 03:00:00
0.14426154498185512,126E,wheat,potato,0.0,no,2014-10-29,LC0,357,2014-10-29,2014,2014-10-29 03:00:00
0.5075344128522411,E46,wheat,wheat,1.0,yes,2014-10-29,LC0,581,2014-10-29,2014,2014-10-29 03:00:00
0.38327443580459014,138,empty,empty,1.0,yes,2014-10-29,LC0,706,2014-10-29,2014,2014-10-29 03:00:00
0.6703756922967469,E56,potato,potato,1.0,yes,2014-10-29,LC0,552,2014-10-29,2014,2014-10-29 03:00:00
0.6443253183623945,108E,wheat,wheat,1.0,yes,2014-10-29,LC0,594,2014-10-29,2014,2014-10-29 03:00:00
0.6032041077402505,37E,potato,potato,1.0,no,2014-10-29,LC0,314,2014-10-29,2014,2014-10-29 03:00:00
0.38096791405901476,115E,wheat,potato,0.0,no,2014-10-29,LC0,358,2014-10-29,2014,2014-10-29 03:00:00
0.41367286143653104,127E,wheat,wheat,1.0,yes,2014-10-29,LC0,664,2014-10-29,2014,2014-10-29 03:00:00
0.1448845278826131,E47,wheat,onion,0.0,yes,2014-10-29,LC0,565,2014-10-29,2014,2014-10-29 03:00:00
0.14024642836031784,107E,alfaalfa,alfaalfa,1.0,yes,2014-10-29,LC0,598,2014-10-29,2014,2014-10-29 03:00:00
0.39200623891117514,139E,wheat,wheat,1.0,yes,2014-10-29,LC0,702,2014-10-29,2014,2014-10-29 03:00:00
0.14476404496132622,E57,barely,barely,1.0,yes,2014-10-29,LC0,662,2014-10-29,2014,2014-10-29 03:00:00
0.14344724593353006,E28,barely,onion,0.0,yes,2014-10-29,LC0,729,2014-10-29,2014,2014-10-29 03:00:00
0.5800511525209164,E38,potato,potato,1.0,no,2014-10-29,LC0,339,2014-10-29,2014,2014-10-29 03:00:00
0.3903046570784794,116E,wheat,potato,0.0,no,2014-10-29,LC0,393,2014-10-29,2014,2014-10-29 03:00:00
0.1384112166486917,E48,wheat,wheat,1.0,yes,2014-10-29,LC0,576,2014-10-29,2014,2014-10-29 03:00:00
